日付,終値,,,,,
2023/11/30,75.96,,,,,
2023/11/29,77.86,,,,,
2023/11/28,76.41,,,,,
2023/11/27,74.86,,,,,
2023/11/24,75.54,,,,,
2023/11/23,76.34,,,,,
2023/11/22,77.1,,,,,
2023/11/21,77.77,,,,,
2023/11/20,77.6,,,,,
2023/11/17,75.89,,,,,
2023/11/16,72.9,,,,,
2023/11/15,76.66,,,,,
2023/11/14,78.26,,,,,
2023/11/13,78.26,,,,,
2023/11/10,77.17,,,,,
2023/11/9,75.74,,,,,
2023/11/8,75.33,,,,,
2023/11/7,77.37,,,,,
2023/11/6,80.82,,,,,
2023/11/3,80.51,,,,,
2023/11/2,82.46,,,,,
2023/11/1,80.44,,,,,
2023/10/31,81.02,,,,,
2023/10/30,82.31,,,,,
2023/10/27,85.54,,,,,
2023/10/26,83.21,,,,,
2023/10/25,85.39,,,,,
2023/10/24,83.74,,,,,
2023/10/23,85.49,,,,,
2023/10/20,88.75,,,,,
2023/10/19,89.37,,,,,
2023/10/18,88.32,,,,,
2023/10/17,86.66,,,,,
2023/10/16,86.66,,,,,
2023/10/13,87.69,,,,,
2023/10/12,82.91,,,,,
2023/10/11,83.49,,,,,
2023/10/10,85.97,,,,,
2023/10/9,86.38,,,,,
2023/10/6,82.79,,,,,
2023/10/5,82.31,,,,,
2023/10/4,84.22,,,,,
2023/10/3,89.23,,,,,
2023/10/2,88.82,,,,,
2023/9/29,90.79,,,,,
2023/9/28,91.71,,,,,
2023/9/27,93.68,,,,,
2023/9/26,90.39,,,,,
2023/9/25,89.68,,,,,
2023/9/22,90.03,,,,,
2023/9/21,89.63,,,,,
2023/9/20,90.28,,,,,
2023/9/19,91.2,,,,,
2023/9/18,91.48,,,,,
2023/9/15,90.77,,,,,
2023/9/14,90.16,,,,,
2023/9/13,88.52,,,,,
2023/9/12,88.84,,,,,
2023/9/11,87.29,,,,,
2023/9/8,87.51,,,,,
2023/9/7,86.87,,,,,
2023/9/6,87.54,,,,,
2023/9/5,86.69,,,,,
2023/9/4,85.82,,,,,
2023/9/3,85.85,,,,,
2023/9/1,85.55,,,,,
2023/8/31,83.63,,,,,
2023/8/30,81.63,,,,,
2023/8/29,81.16,,,,,
2023/8/28,80.1,,,,,
2023/8/25,79.83,,,,,
2023/8/24,79.05,,,,,
2023/8/23,78.89,,,,,
2023/8/22,80.35,,,,,
2023/8/21,80.72,,,,,
2023/8/18,81.25,,,,,
2023/8/17,80.39,,,,,
2023/8/16,79.38,,,,,
2023/8/15,80.99,,,,,
2023/8/14,82.51,,,,,
2023/8/11,83.19,,,,,
2023/8/10,82.82,,,,,
2023/8/9,84.4,,,,,
2023/8/8,82.92,,,,,
2023/8/7,81.94,,,,,
2023/8/4,82.82,,,,,
2023/8/3,81.55,,,,,
2023/8/2,79.49,,,,,
2023/8/1,81.37,,,,,
2023/7/31,81.8,,,,,
2023/7/28,80.58,,,,,
2023/7/27,80.09,,,,,
2023/7/26,78.78,,,,,
2023/7/25,79.63,,,,,
2023/7/24,78.74,,,,,
2023/7/21,77.07,,,,,
2023/7/20,75.63,,,,,
2023/7/19,75.35,,,,,
2023/7/18,75.75,,,,,
2023/7/17,74.15,,,,,
2023/7/14,75.42,,,,,
2023/7/13,76.89,,,,,
2023/7/12,75.75,,,,,
2023/7/11,74.83,,,,,
2023/7/10,72.99,,,,,
2023/7/7,73.86,,,,,
2023/7/6,71.8,,,,,
2023/7/5,71.79,,,,,
2023/7/4,71.06,,,,,
2023/7/3,69.79,,,,,
2023/6/30,70.64,,,,,
2023/6/29,69.86,,,,,
2023/6/28,69.56,,,,,
2023/6/27,67.7,,,,,
2023/6/26,69.37,,,,,
2023/6/23,69.16,,,,,
2023/6/22,69.51,,,,,
2023/6/21,72.53,,,,,
2023/6/20,70.5,,,,,
2023/6/19,71.31,,,,,
2023/6/18,71.47,,,,,
2023/6/16,71.78,,,,,
2023/6/15,70.62,,,,,
2023/6/14,68.27,,,,,
2023/6/13,69.42,,,,,
2023/6/12,67.12,,,,,
2023/6/9,70.17,,,,,
2023/6/8,71.29,,,,,
2023/6/7,72.53,,,,,
2023/6/6,71.74,,,,,
2023/6/5,72.15,,,,,
2023/6/2,71.74,,,,,
2023/6/1,70.1,,,,,
2023/5/31,68.09,,,,,
2023/5/30,69.46,,,,,
2023/5/29,72.87,,,,,
2023/5/28,73.22,,,,,
2023/5/26,72.67,,,,,
2023/5/25,71.83,,,,,
2023/5/24,74.34,,,,,
2023/5/23,72.91,,,,,
2023/5/22,71.99,,,,,
2023/5/19,71.55,,,,,
2023/5/18,71.86,,,,,
2023/5/17,72.83,,,,,
2023/5/16,70.86,,,,,
2023/5/15,71.11,,,,,
2023/5/12,70.04,,,,,
2023/5/11,70.87,,,,,
2023/5/10,72.56,,,,,
2023/5/9,73.71,,,,,
2023/5/8,73.16,,,,,
2023/5/5,71.34,,,,,
2023/5/4,68.56,,,,,
2023/5/3,68.6,,,,,
2023/5/2,71.66,,,,,
2023/5/1,75.66,,,,,
2023/4/28,76.78,,,,,
2023/4/27,74.76,,,,,
2023/4/26,74.3,,,,,
2023/4/25,77.07,,,,,
2023/4/24,78.76,,,,,
2023/4/21,77.87,,,,,
2023/4/20,77.29,,,,,
2023/4/19,79.16,,,,,
2023/4/18,80.86,,,,,
2023/4/17,80.83,,,,,
2023/4/14,82.52,,,,,
2023/4/13,82.16,,,,,
2023/4/12,83.26,,,,,
2023/4/11,81.53,,,,,
2023/4/10,79.74,,,,,
2023/4/6,80.7,,,,,
2023/4/5,80.61,,,,,
2023/4/4,80.71,,,,,
2023/4/3,80.42,,,,,
2023/3/31,75.67,,,,,
2023/3/30,74.37,,,,,
2023/3/29,72.97,,,,,
2023/3/28,73.2,,,,,
2023/3/27,72.81,,,,,
2023/3/24,69.26,,,,,
2023/3/23,69.96,,,,,
2023/3/22,70.9,,,,,
2023/3/21,69.33,,,,,
2023/3/20,67.64,,,,,
2023/3/17,66.74,,,,,
2023/3/16,68.35,,,,,
2023/3/15,67.61,,,,,
2023/3/14,71.33,,,,,
2023/3/13,74.8,,,,,
2023/3/10,76.68,,,,,
2023/3/9,75.72,,,,,
2023/3/8,76.66,,,,,
2023/3/7,77.58,,,,,
2023/3/6,80.46,,,,,
2023/3/3,79.68,,,,,
2023/3/2,78.16,,,,,
2023/3/1,77.69,,,,,
2023/2/28,77.05,,,,,
2023/2/27,75.68,,,,,
2023/2/24,76.32,,,,,
2023/2/23,75.39,,,,,
2023/2/22,73.95,,,,,
2023/2/21,76.16,,,,,
2023/2/20,77.3,,,,,
2023/2/19,76.67,,,,,
